CPERSONA_COMPANIA	CSUBSISTEMA	CGRUPOPRODUCTO	CPRODUCTO	CTIPOBANCA	CESTATUSCUENTA	CSUBSISTEMA_TRANSACCION	CTRANSACCION	VERSIONTRANSACCION	CMONEDA	CTIPOHORARIO	DIASEMANA	FHASTA	FDESDE	HORADESDE	HORAHASTA	MONTOMAXIMO	CODIGOREGISTRO	VERSIONCONTROL
2	04	00	000	1	001	04	6164	01	USD	N	1	31/12/2999 0:00:00,000000	6/7/2018 12:35:37,694000	0700	2359	10000000	20400000100104616401USDN1	0
2	04	00	000	1	001	04	6164	01	USD	N	2	31/12/2999 0:00:00,000000	6/7/2018 12:35:37,709000	0700	2359	10000000	20400000100104616401USDN2	0
2	04	00	000	1	001	04	6164	01	USD	N	3	31/12/2999 0:00:00,000000	6/7/2018 12:35:37,718000	0700	2359	10000000	20400000100104616401USDN3	0
2	04	00	000	1	001	04	6164	01	USD	N	4	31/12/2999 0:00:00,000000	6/7/2018 12:35:37,728000	0700	2359	10000000	20400000100104616401USDN4	0
2	04	00	000	1	001	04	6164	01	USD	N	5	31/12/2999 0:00:00,000000	6/7/2018 12:35:37,748000	0700	2359	10000000	20400000100104616401USDN5	0
2	04	00	000	1	001	04	6164	01	USD	N	6	31/12/2999 0:00:00,000000	6/7/2018 12:35:37,759000	0700	2359	10000000	20400000100104616401USDN6	0
2	04	00	000	1	001	04	6164	01	USD	N	7	31/12/2999 0:00:00,000000	6/7/2018 12:35:37,768000	0700	2359	10000000	20400000100104616401USDN7	0
2	21	00	000	1	001	21	4313	01	USD	N	5	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121431301USDN5	0
2	21	00	000	1	001	21	4320	01	USD	N	5	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121432001USDN5	0
2	21	00	000	1	001	21	8000	01	USD	N	5	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121800001USDN5	0
2	21	00	000	1	001	21	8001	01	USD	N	5	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121800101USDN5	0
2	21	00	000	1	001	21	8002	01	USD	N	5	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121800201USDN5	0
2	21	00	000	1	001	21	8003	01	USD	N	5	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121800301USDN5	0
2	21	00	000	1	001	21	1000	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121100001USDN6	0
2	21	00	000	1	001	21	1170	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121117001USDN6	0
2	21	00	000	1	001	21	1171	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121117101USDN6	0
2	21	00	000	1	001	21	1172	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121117201USDN6	0
