CPERSONA_COMPANIA	CSUBSISTEMA	CGRUPOPRODUCTO	CPRODUCTO	CTIPOBANCA	CESTATUSCUENTA	CSUBSISTEMA_TRANSACCION	CTRANSACCION	VERSIONTRANSACCION	VERSIONCONTROL
2	01	00	000	1	001	01	9046	01	0
2	01	00	000	1	001	01	9047	01	0
2	01	00	000	1	001	01	9048	01	0
2	01	00	000	1	001	01	9049	01	0
2	01	00	000	1	001	01	9050	01	0
2	01	00	000	1	001	01	9051	01	0
2	01	00	000	1	001	01	9052	01	0
2	01	00	000	1	001	01	9053	01	0
2	01	00	000	1	001	01	9054	01	0
2	01	00	000	1	001	01	9055	01	0
2	01	00	000	1	001	01	9057	01	0
2	01	00	000	1	001	01	9058	01	0
2	01	00	000	1	001	01	9060	01	0
2	01	00	000	1	001	01	9061	01	0
2	01	00	000	1	001	01	9063	01	0
2	01	00	000	1	001	01	9064	01	0
2	01	00	000	1	001	01	9065	01	0
2	01	00	000	1	001	01	9066	01	0
2	01	00	000	1	001	01	9067	01	0
2	01	00	000	1	001	01	9068	01	0
2	01	00	000	1	001	01	9069	01	0
2	01	00	000	1	001	01	9070	01	0
2	01	00	000	1	001	01	9072	01	0
2	01	00	000	1	001	01	9073	01	0
2	01	00	000	1	001	01	9074	01	0
2	01	00	000	1	001	01	9076	01	0
2	01	00	000	1	001	01	9078	01	0
2	01	00	000	1	001	01	9080	01	0
2	01	00	000	1	001	01	9081	01	0
2	01	00	000	1	001	01	9082	01	0
2	01	00	000	1	001	01	9084	01	0
2	01	00	000	1	001	01	9085	01	0
2	01	00	000	1	001	01	9087	01	0
2	01	00	000	1	001	01	9089	01	0
2	01	00	000	1	001	01	9090	01	0
2	01	00	000	1	001	01	9094	01	0
2	01	00	000	1	001	01	9096	01	0
2	01	00	000	1	001	01	9097	01	0
2	01	00	000	1	001	01	9106	01	0
2	01	00	000	1	001	01	9107	01	0
2	01	00	000	1	001	01	9108	01	0
2	01	00	000	1	001	01	9109	01	0
2	01	00	000	1	001	01	9117	01	0
2	01	00	000	1	001	01	9150	01	0
2	01	00	000	1	001	01	9500	01	0
2	01	00	000	1	001	01	9502	01	0
2	01	00	000	1	001	01	9503	01	0
2	01	00	000	1	001	01	9504	01	0
2	01	00	000	1	001	01	9505	01	0
2	01	00	000	1	001	01	9506	01	0
2	01	00	000	1	001	01	9507	01	0
2	01	00	000	1	001	01	9508	01	0
2	01	00	000	1	001	01	9509	01	0
2	01	00	000	1	001	01	9510	01	0
2	01	00	000	1	001	01	9512	01	0
2	01	00	000	1	001	01	9513	01	0
2	01	00	000	1	001	01	9514	01	0
2	01	00	000	1	001	01	9516	01	0
2	01	00	000	1	001	01	9517	01	0
2	01	00	000	1	001	01	9520	01	0
2	01	00	000	1	001	01	9521	01	0
2	01	00	000	1	001	01	9522	01	0
2	01	00	000	1	001	01	9523	01	0
2	01	00	000	1	001	01	9526	01	0
2	01	00	000	1	001	01	9532	01	0
2	01	00	000	1	001	01	9534	01	0
2	01	00	000	1	001	01	9541	01	0
2	01	00	000	1	001	01	9544	01	0
2	01	00	000	1	001	01	9545	01	0
2	01	00	000	1	001	01	9554	01	0
2	01	00	000	1	001	01	9700	01	0
2	01	00	000	1	001	01	9701	01	0
2	01	00	000	1	001	01	9702	01	0
2	01	00	000	1	001	01	9703	01	0
2	01	00	000	1	001	01	9704	01	0
2	01	00	000	1	001	01	9705	01	0
2	01	00	000	1	001	01	9706	01	0
2	01	00	000	1	001	01	9707	01	0
2	01	00	000	1	001	01	9708	01	0
2	01	00	000	1	001	01	9709	01	0
2	01	00	000	1	001	01	9710	01	0
2	01	00	000	1	001	01	9711	01	0
2	01	00	000	1	001	01	9712	01	0
2	01	00	000	1	001	01	9718	01	0
2	01	00	000	1	001	01	9743	01	0
2	01	00	000	1	001	01	9765	01	0
2	01	00	000	1	001	01	9800	01	0
2	01	01	001	1	001	01	0002	01	0
2	01	01	001	1	001	01	0100	01	0
2	01	01	001	1	001	01	0101	01	0
2	01	01	001	1	001	01	0102	01	0
2	01	01	001	1	001	01	0103	01	0
2	01	01	001	1	001	01	0104	01	0
2	01	01	001	1	001	01	0105	01	0
2	01	01	001	1	001	01	0106	01	0
2	01	01	001	1	001	01	0107	01	0
2	01	01	001	1	001	01	0108	01	0
2	01	01	001	1	001	01	0109	01	0
2	01	01	001	1	001	01	0110	01	0
2	01	01	001	1	001	01	0111	01	0
2	01	01	001	1	001	01	0112	01	0
2	01	01	001	1	001	01	0113	01	0
2	01	01	001	1	001	01	0114	01	0
2	01	01	001	1	001	01	0115	01	0
2	01	01	001	1	001	01	0116	01	0
2	01	01	001	1	001	01	0117	01	0
2	01	01	001	1	001	01	0118	01	0
2	01	01	001	1	001	01	0119	01	0
2	01	01	001	1	001	01	0120	01	0
2	01	01	001	1	001	01	0121	01	0
2	01	01	001	1	001	01	0122	01	0
2	01	01	001	1	001	01	0123	01	0
2	01	01	001	1	001	01	0124	01	0
2	01	01	001	1	001	01	0125	01	0
2	01	01	001	1	001	01	0126	01	0
2	01	01	001	1	001	01	0127	01	0
2	01	01	001	1	001	01	0128	01	0
2	01	01	001	1	001	01	0129	01	0
2	01	01	001	1	001	01	0130	01	0
2	01	01	001	1	001	01	0131	01	0
2	01	01	001	1	001	01	0132	01	0
2	01	01	001	1	001	01	0133	01	0
2	01	01	001	1	001	01	0134	01	0
2	01	01	001	1	001	01	0135	01	0
2	01	01	001	1	001	01	0136	01	0
2	01	01	001	1	001	01	0137	01	0
2	01	01	001	1	001	01	0138	01	0
2	01	01	001	1	001	01	0139	01	0
2	01	01	001	1	001	01	0140	01	0
2	01	01	001	1	001	01	0141	01	0
2	01	01	001	1	001	01	0142	01	0
2	01	01	001	1	001	01	0143	01	0
2	01	01	001	1	001	01	0144	01	0
2	01	01	001	1	001	01	0145	01	0
2	01	01	001	1	001	01	0146	01	0
2	01	01	001	1	001	01	0147	01	0
2	01	01	001	1	001	01	0148	01	0
2	01	01	001	1	001	01	0149	01	0
2	01	01	001	1	001	01	0150	01	0
2	01	01	001	1	001	01	0151	01	0
2	01	01	001	1	001	01	0152	01	0
2	01	01	001	1	001	01	0153	01	0
2	01	01	001	1	001	01	0154	01	0
2	01	01	001	1	001	01	0155	01	0
2	01	01	001	1	001	01	0156	01	0
2	01	01	001	1	001	01	0157	01	0
2	01	01	001	1	001	01	0158	01	0
2	01	01	001	1	001	01	0159	01	0
2	01	01	001	1	001	01	0160	01	0
2	01	01	001	1	001	01	0161	01	0
2	01	01	001	1	001	01	0163	01	0
2	01	01	001	1	001	01	0164	01	0
2	01	01	001	1	001	01	0165	01	0
2	01	01	001	1	001	01	0166	01	0
2	01	01	001	1	001	01	0167	01	0
2	01	01	001	1	001	01	0168	01	0
2	01	01	001	1	001	01	0169	01	0
2	01	01	001	1	001	01	0170	01	0
2	01	01	001	1	001	01	0171	01	0
2	01	01	001	1	001	01	0172	01	0
2	01	01	001	1	001	01	0173	01	0
2	01	01	001	1	001	01	0174	01	0
2	01	01	001	1	001	01	0175	01	0
2	01	01	001	1	001	01	0177	01	0
2	01	01	001	1	001	01	0178	01	0
2	01	01	001	1	001	01	0183	01	0
2	01	01	001	1	001	01	0184	01	0
2	01	01	001	1	001	01	0185	01	0
2	01	01	001	1	001	01	0186	01	0
2	01	01	001	1	001	01	0187	01	0
2	01	01	001	1	001	01	0188	01	0
2	01	01	001	1	001	01	0189	01	0
2	01	01	001	1	001	01	0190	01	0
2	01	01	001	1	001	01	0191	01	0
2	01	01	001	1	001	01	0192	01	0
2	01	01	001	1	001	01	0193	01	0
2	01	01	001	1	001	01	0194	01	0
2	01	01	001	1	001	01	0195	01	0
2	01	01	001	1	001	01	0200	01	0
2	01	01	001	1	001	01	0201	01	0
2	01	01	001	1	001	01	0203	01	0
2	01	01	001	1	001	01	0204	01	0
2	01	01	001	1	001	01	0205	01	0
2	01	01	001	1	001	01	0206	01	0
2	01	01	001	1	001	01	0207	01	0
2	01	01	001	1	001	01	0208	01	0
2	01	01	001	1	001	01	0209	01	0
2	01	01	001	1	001	01	0210	01	0
2	01	01	001	1	001	01	0300	01	0
2	01	01	001	1	001	01	0301	01	0
2	01	01	001	1	001	01	0302	01	0
2	01	01	001	1	001	01	0310	01	0
2	01	01	001	1	001	01	0311	01	0
2	01	01	001	1	001	01	0328	01	0
2	01	01	001	1	001	01	1921	01	0
2	02	01	001	1	001	02	2000	01	0
2	02	01	001	1	001	02	2001	01	0
2	02	01	001	1	001	02	2002	01	0
2	02	01	001	1	001	02	2003	01	0
2	02	01	001	1	001	02	2004	01	0
2	02	01	001	1	001	02	2005	01	0
2	02	01	001	1	001	02	2006	01	0
2	02	01	001	1	001	02	2007	01	0
2	02	01	001	1	001	02	2008	01	0
2	02	01	001	1	001	02	2009	01	0
2	02	01	001	1	001	02	2010	01	0
2	02	01	001	1	001	02	2011	01	0
2	02	01	001	1	001	02	2012	01	0
2	02	01	001	1	001	02	2013	01	0
2	02	01	001	1	001	02	2014	01	0
2	02	01	001	1	001	02	2015	01	0
2	02	01	001	1	001	02	2016	01	0
2	02	01	001	1	001	02	2017	01	0
2	02	01	001	1	001	02	2018	01	0
2	02	01	001	1	001	02	2019	01	0
2	02	01	001	1	001	02	2020	01	0
2	02	01	001	1	001	02	2040	01	0
2	02	01	001	1	001	02	2041	01	0
2	02	01	001	1	001	02	2050	01	0
2	02	01	001	1	001	02	2051	01	0
2	02	01	001	1	001	02	2052	01	0
2	02	01	001	1	001	02	2053	01	0
2	02	01	001	1	001	02	2054	01	0
2	02	01	001	1	001	02	2056	01	0
2	02	01	001	1	001	02	2057	01	0
2	02	01	001	1	001	02	2058	01	0
2	02	01	001	1	001	02	2059	01	0
2	02	01	001	1	001	02	2060	01	0
2	02	01	001	1	001	02	2061	01	0
2	02	01	001	1	001	02	2200	01	0
2	02	01	001	1	001	02	2201	01	0
2	02	01	001	1	001	02	2202	01	0
2	02	01	001	1	001	02	2203	01	0
2	02	01	001	1	001	02	2212	01	0
2	02	01	001	1	001	02	2300	01	0
2	02	01	001	1	001	02	2301	01	0
2	02	01	001	1	001	02	2302	01	0
2	02	01	001	1	001	02	2316	01	0
2	02	01	001	1	001	02	2500	01	0
2	02	01	001	1	001	02	2501	01	0
2	02	01	001	1	001	02	3000	01	0
2	02	01	001	1	001	02	3010	01	0
2	02	01	001	1	001	02	3011	01	0
2	02	01	001	1	001	02	3012	01	0
2	02	01	001	1	001	02	3130	01	0
2	02	01	001	1	001	02	3200	01	0
2	02	01	001	1	001	02	3201	01	0
2	02	01	001	1	001	02	3202	01	0
2	02	01	001	1	001	02	3203	01	0
2	02	01	001	1	001	02	3204	01	0
2	02	01	001	1	001	02	3205	01	0
2	02	01	001	1	001	02	3206	01	0
2	02	01	001	1	001	02	3207	01	0
2	02	01	001	1	001	02	3208	01	0
2	02	01	001	1	001	02	3209	01	0
2	02	01	001	1	001	02	3210	01	0
2	02	01	001	1	001	02	3211	01	0
2	02	01	001	1	001	02	3212	01	0
2	02	01	001	1	001	02	3213	01	0
2	02	01	001	1	001	02	3214	01	0
2	02	01	001	1	001	02	3215	01	0
2	02	01	001	1	001	02	3216	01	0
2	02	01	001	1	001	02	3217	01	0
2	02	01	001	1	001	02	3219	01	0
2	02	01	001	1	001	02	3220	01	0
2	02	01	001	1	001	02	3221	01	0
2	02	01	001	1	001	02	3222	01	0
2	02	01	001	1	001	02	3223	01	0
2	02	01	001	1	001	02	3300	01	0
2	02	01	001	1	001	02	3301	01	0
2	02	01	001	1	001	02	3302	01	0
2	02	01	001	1	001	02	3303	01	0
2	02	01	001	1	001	02	3304	01	0
2	02	01	001	1	001	02	3305	01	0
2	02	01	001	1	001	02	3306	01	0
2	02	01	001	1	001	02	3307	01	0
2	02	01	001	1	001	02	3308	01	0
2	02	01	001	1	001	02	3309	01	0
2	02	01	001	1	001	02	3310	01	0
2	02	01	001	1	001	02	3311	01	0
2	02	01	001	1	001	02	3312	01	0
2	02	01	001	1	001	02	3313	01	0
2	02	01	001	1	001	02	3314	01	0
2	02	01	001	1	001	02	3315	01	0
2	02	01	001	1	001	02	3316	01	0
2	02	01	001	1	001	02	3317	01	0
2	02	01	001	1	001	02	3318	01	0
2	02	01	001	1	001	02	3319	01	0
2	02	01	001	1	001	02	3320	01	0
